date,buy_hold,v1_bullish,v1_positive,v2_bullish,v2_positive
2024-12-09,1.619818,1.098759,1.258023,0.965627,1.098812
2024-12-10,1.608437,1.098759,1.247926,0.965627,1.091091
2024-12-11,1.683902,1.098759,1.306477,0.965627,1.090000
2024-12-12,1.665241,1.098759,1.305170,0.965627,1.090000
2024-12-13,1.688885,1.098759,1.305170,0.965627,1.090000
2024-12-14,1.688815,1.098759,1.305170,0.965627,1.090000
2024-12-15,1.739502,1.098759,1.305170,0.965627,1.090000
2024-12-16,1.766056,1.098759,1.305170,0.965627,1.090000
2024-12-17,1.767306,1.098759,1.304789,0.965627,1.089682
2024-12-18,1.668566,1.098759,1.303484,0.965627,1.028801
2024-12-19,1.622905,1.067592,1.266510,0.965627,1.000647
2024-12-20,1.628626,1.071356,1.270975,0.968066,1.004175
2024-12-21,1.620076,1.070284,1.269704,0.967097,0.998903
2024-12-22,1.585012,1.070284,1.240953,0.967097,0.997904
2024-12-23,1.579937,1.070284,1.236980,0.967097,0.993711
2024-12-24,1.642916,1.070284,1.286288,0.967097,1.033321
2024-12-25,1.655671,1.070284,1.296274,0.967097,1.041344
2024-12-26,1.595092,1.070284,1.248845,0.967097,1.003243
2024-12-27,1.570238,1.070284,1.229386,0.967097,1.002239
2024-12-28,1.586906,1.070284,1.228157,0.967097,1.002239
2024-12-29,1.560900,1.070284,1.228157,0.967097,1.002239
2024-12-30,1.545145,1.070284,1.228157,0.967097,1.002239
2024-12-31,1.558199,1.070284,1.228157,0.967097,1.002239
2025-01-01,1.575113,1.070284,1.228157,0.967097,1.002239
2025-01-02,1.614961,1.070284,1.228157,0.967097,1.002239
2025-01-03,1.634766,1.070284,1.241991,0.967097,1.013528
2025-01-04,1.635537,1.070284,1.242577,0.967097,1.014007
2025-01-05,1.637921,1.070284,1.244387,0.967097,1.015484
2025-01-06,1.702396,1.070284,1.243143,0.967097,1.014468
2025-01-07,1.614458,1.070284,1.243143,0.967097,1.014468
2025-01-08,1.582920,1.070284,1.243143,0.967097,1.014468
2025-01-09,1.541156,1.070284,1.243143,0.967097,1.014468
2025-01-10,1.577350,1.070284,1.243143,0.967097,1.014468
2025-01-11,1.575250,1.070284,1.243143,0.967097,1.014468
2025-01-12,1.574335,1.070284,1.243143,0.967097,1.014468
2025-01-13,1.574186,1.070284,1.243143,0.967097,1.014468
2025-01-14,1.607902,1.070284,1.243143,0.967097,1.014468
2025-01-15,1.673451,1.070284,1.243143,0.967097,1.014468
2025-01-16,1.664958,1.070284,1.243143,0.967097,1.008305
2025-01-17,1.733066,1.070284,1.243143,0.967097,1.007297
2025-01-18,1.741038,1.070284,1.243143,0.967097,1.007297
2025-01-19,1.687342,1.070284,1.243143,0.967097,1.007297
2025-01-20,1.702802,1.070284,1.243143,0.967097,1.007297
2025-01-21,1.767474,1.070284,1.243143,0.967097,1.044547
2025-01-22,1.726891,1.044639,1.213356,0.967097,1.020563
2025-01-23,1.730283,1.046691,1.215739,0.967097,1.022567
2025-01-24,1.746271,1.056363,1.226973,0.967097,1.032016
2025-01-25,1.744212,1.055117,1.225526,0.967097,1.030799
2025-01-26,1.708797,1.054062,1.200642,0.967097,1.009869
2025-01-27,1.699852,1.047491,1.194357,0.967097,1.004583
2025-01-28,1.687408,1.039822,1.185614,0.967097,0.997229
2025-01-29,1.727334,1.038782,1.213667,0.967097,0.996232
2025-01-30,1.743814,1.038782,1.225246,0.967097,0.996232
2025-01-31,1.705625,1.038782,1.198414,0.967097,0.996232
2025-02-01,1.675754,1.038782,1.197215,0.967097,0.996232
2025-02-02,1.626880,1.038782,1.161101,0.967097,0.996232
2025-02-03,1.687291,1.038782,1.159940,0.967097,0.996232
2025-02-04,1.627921,1.001193,1.117966,0.967097,0.960182
2025-02-05,1.608760,1.000191,1.116848,0.967097,0.959221
2025-02-06,1.607793,1.000191,1.115060,0.967097,0.959221
2025-02-07,1.607001,1.000191,1.113945,0.967097,0.959221
2025-02-08,1.605968,1.000191,1.113945,0.967097,0.959221
2025-02-09,1.606268,1.000191,1.113945,0.967097,0.959221
2025-02-10,1.622388,1.000191,1.113945,0.967097,0.959221
2025-02-11,1.594869,1.000191,1.093936,0.967097,0.959221
2025-02-12,1.629701,1.000191,1.092842,0.967097,0.959221
2025-02-13,1.608689,1.000191,1.092842,0.967097,0.959221
2025-02-14,1.623548,1.000191,1.092842,0.967097,0.959221
2025-02-15,1.624700,1.000191,1.092842,0.967097,0.959221
2025-02-16,1.600529,1.000191,1.092842,0.967097,0.959221
2025-02-17,1.594899,1.000191,1.092842,0.967097,0.959221
2025-02-18,1.593096,1.000191,1.092842,0.967097,0.959221
2025-02-19,1.609292,1.000191,1.092842,0.967097,0.959221
2025-02-20,1.636945,1.000191,1.092842,0.967097,0.959221
2025-02-21,1.601593,1.000191,1.092842,0.967097,0.959221
2025-02-22,1.607738,1.000191,1.092842,0.967097,0.959221
2025-02-23,1.602859,1.000191,1.092842,0.967097,0.959221
2025-02-24,1.524510,1.000191,1.092842,0.967097,0.959221
2025-02-25,1.476679,1.000191,1.092842,0.967097,0.959221
2025-02-26,1.402907,1.000191,1.092842,0.967097,0.959221
2025-02-27,1.410541,1.000191,1.092842,0.967097,0.959221
2025-02-28,1.404569,1.000191,1.087122,0.967097,0.954201
2025-03-01,1.433120,1.000191,1.109220,0.967097,0.953247
2025-03-02,1.569755,1.000191,1.108111,0.967097,0.953247
2025-03-03,1.435719,1.000191,1.108111,0.967097,0.953247
2025-03-04,1.453393,1.000191,1.108111,0.967097,0.953247
2025-03-05,1.508743,1.000191,1.108111,0.967097,0.953247
2025-03-06,1.497518,1.000191,1.108111,0.967097,0.953247
2025-03-07,1.445396,1.000191,1.068435,0.967097,0.953247
2025-03-08,1.435750,1.000191,1.067366,0.967097,0.953247
2025-03-09,1.344364,1.000191,1.067366,0.967097,0.953247
2025-03-10,1.308754,1.000191,1.038026,0.967097,0.927044
2025-03-11,1.380975,1.000191,1.036988,0.967097,0.926117
2025-03-12,1.393416,1.000191,1.036988,0.967097,0.926117
2025-03-13,1.350715,1.000191,1.036988,0.967097,0.926117
2025-03-14,1.398462,1.000191,1.036988,0.967097,0.926117
2025-03-15,1.404378,1.000191,1.036988,0.967097,0.926117
2025-03-16,1.375006,1.000191,1.036988,0.967097,0.926117
2025-03-17,1.398909,1.000191,1.036988,0.967097,0.926117
2025-03-18,1.377345,1.000191,1.036988,0.967097,0.926117
2025-03-19,1.446132,1.000191,1.036988,0.967097,0.926117
2025-03-20,1.402462,1.000191,1.036988,0.967097,0.926117
2025-03-21,1.400221,1.000191,1.036988,0.967097,0.926117
2025-03-22,1.396088,1.000191,1.036988,0.967097,0.926117
2025-03-23,1.433419,1.000191,1.036988,0.967097,0.926117
2025-03-24,1.456992,1.000191,1.036988,0.967097,0.926117
2025-03-25,1.455239,1.000191,1.036988,0.967097,0.926117
2025-03-26,1.447185,1.000191,1.036988,0.967097,0.926117
2025-03-27,1.452561,1.000191,1.036988,0.967097,0.926117
2025-03-28,1.405809,1.000191,1.036988,0.967097,0.926117
2025-03-29,1.376238,1.000191,1.036988,0.967097,0.926117
2025-03-30,1.371933,1.000191,1.036988,0.967097,0.926117
2025-03-31,1.374597,1.000191,1.036988,0.967097,0.926117
2025-04-01,1.418030,1.000191,1.036988,0.967097,0.926117
2025-04-02,1.374036,1.000191,1.036988,0.967097,0.926117
2025-04-03,1.385639,1.000191,1.036988,0.967097,0.926117
2025-04-04,1.396908,1.000191,1.036988,0.967097,0.932723
2025-04-05,1.391049,1.000191,1.036988,0.967097,0.928810
2025-04-06,1.305992,1.000191,1.036988,0.967097,0.872018
2025-04-07,1.318202,1.000191,1.036988,0.967097,0.871146
2025-04-08,1.270897,1.000191,1.036988,0.967097,0.839013
2025-04-09,1.375683,1.000191,1.036988,0.967097,0.908190
2025-04-10,1.325596,1.000191,1.036988,0.967097,0.907281
2025-04-11,1.389148,1.000191,1.036988,0.967097,0.907281
2025-04-12,1.420005,1.000191,1.058985,0.967097,0.926527
2025-04-13,1.394746,1.000191,1.040148,0.967097,0.910046
2025-04-14,1.408593,1.000191,1.039108,0.967097,0.919081
2025-04-15,1.392814,0.987987,1.026429,0.955297,0.908786
2025-04-16,1.399248,0.986999,1.025402,0.954342,0.912984
2025-04-17,1.414526,0.986999,1.025402,0.954342,0.922953
2025-04-18,1.406646,0.986999,1.018665,0.954342,0.917811
2025-04-19,1.416676,0.986999,1.025928,0.954342,0.924355
2025-04-20,1.418378,0.986999,1.027161,0.954342,0.925466
2025-04-21,1.457293,0.986999,1.055342,0.954342,0.950857
2025-04-22,1.555984,0.986999,1.126812,0.954342,1.015251
2025-04-23,1.560115,0.986999,1.125685,0.954342,1.014236
2025-04-24,1.564934,0.986999,1.125685,0.954342,1.014236
